10,अदस् (पुं),वह,पुंलिंग,सर्वनाम,-,असौ,अमू,अमी,अमुम्,अमू,अमून्,अमुना,अमूभ्याम्,अमीभिः,अमुष्मै,अमूभ्याम्,अमीभ्यः,अमुष्मात्,अमूभ्याम्,अमीभ्यः,अमुष्य,अमुयोः,अमीषाम्,अमुष्मिन्,अमुयोः,अमीषु
10,अदस् (नपुं),वह,नपुंसकलिंग,सर्वनाम,-,अदः,अमू,अमूनि,अदः,अमू,अमूनि,अमुना,अमूभ्याम्,अमीभिः,अमुष्मै,अमूभ्याम्,अमीभ्यः,अमुष्मात्,अमूभ्याम्,अमीभ्यः,अमुष्य,अमुयोः,अमीषाम्,अमुष्मिन्,अमुयोः,अमीषु
11,युष्मद्,तू,-,सर्वनाम,-,त्वम्,युवाम्,यूयम्,त्वाम्/त्वा,युवाम्/वाम्,युष्मान्/वः,त्वया,युवाभ्याम्,युष्माभिः,तुभ्यम्/ते,युवाभ्याम्/वाम्,युष्मभ्यम्/वः,त्वत्,युवाभ्याम्,युष्मत्,तव/ते,युवयोः/वाम्,युष्माकम्/वः,त्वयि,युवयोः,युष्मासु
11,अस्मद्,मैं,-,सर्वनाम,-,अहम्,आवाम्,वयम्,माम्/मा,आवाम्/नौ,अस्मान्/नः,मया,आवाभ्याम्,अस्माभिः,मह्यम्/मे,आवाभ्याम्/नौ,अस्मभ्यम्/नः,मत्,आवाभ्याम्,अस्मत्,मम/मे,आवयोः/नौ,अस्माकम्/नः,मयि,आवयोः,अस्मासु
12,यत् (पुं),जो,पुंलिंग,सर्वनाम,-,यः,यौ,ये,यम्,यौ,यान्,येन,याभ्याम्,यैः,यस्मै,याभ्याम्,येभ्यः,यस्मात्,याभ्याम्,येभ्यः,यस्य,ययोः,येषाम्,यस्मिन्,ययोः,येषु
12,यत् (नपुं),जो,नपुंसकलिंग,सर्वनाम,-,यत्,ये,यानि,यत्,ये,यानि,येन,याभ्याम्,यैः,यस्मै,याभ्याम्,येभ्यः,यस्मात्,याभ्याम्,येभ्यः,यस्य,ययोः,येषाम्,यस्मिन्,ययोः,येषु
12,यत् (स्त्री),जो,स्त्रीलिंग,सर्वनाम,-,या,ये,याः,याम्,ये,याः,यया,याभ्याम्,याभिः,यस्यै,याभ्याम्,याभ्यः,यस्याः,याभ्याम्,याभ्यः,यस्याः,ययोः,यासाम्,यस्याम्,ययोः,यासु
13,एक (पुं),एक,पुंलिंग,संख्या,केवल एकवचन में रूप चलते हैं,एकः,-,-,एकम्,-,-,एकेन,-,-,एकस्मै,-,-,एकस्मात्,-,-,एकस्य,-,-,एकस्मिन्,-,-
13,एक (नपुं),एक,नपुंसकलिंग,संख्या,केवल एकवचन में रूप चलते हैं,एकम्,-,-,एकम्,-,-,एकेन,-,-,एकस्मै,-,-,एकस्मात्,-,-,एकस्य,-,-,एकस्मिन्,-,-
13,एक (स्त्री),एक,स्त्रीलिंग,संख्या,केवल एकवचन में रूप चलते हैं,एका,-,-,एकाम्,-,-,एकया,-,-,एकस्यै,-,-,एकस्याः,-,-,एकस्याः,-,-,एकस्याम्,-,-
14,द्वि (पुं),दो,पुंलिंग,संख्या,केवल द्विवचन में रूप चलते हैं,-,द्वौ,-,-,द्वौ,-,-,द्वाभ्याम्,-,-,द्वाभ्याम्,-,-,द्वाभ्याम्,-,-,द्वयोः,-,-,द्वयोः,-
14,द्वि (नपुं),दो,नपुंसकलिंग,संख्या,केवल द्विवचन में रूप चलते हैं,-,द्वे,-,-,द्वे,-,-,द्वाभ्याम्,-,-,द्वाभ्याम्,-,-,द्वाभ्याम्,-,-,द्वयोः,-,-,द्वयोः,-
14,द्वि (स्त्री),दो,स्त्रीलिंग,संख्या,केवल द्विवचन में रूप चलते हैं,-,द्वे,-,-,द्वे,-,-,द्वाभ्याम्,-,-,द्वाभ्याम्,-,-,द्वाभ्याम्,-,-,द्वयोः,-,-,द्वयोः,-
